Chiave,valore
nome_azienda,Herrera LLC
id_transazione,3
nome_azienda,Herrera LLC
id_transazione,60
nome_azienda,Herrera LLC
id_transazione,67
nome_azienda,Herrera LLC
id_transazione,221
nome_azienda,Herrera LLC
id_transazione,348
nome_azienda,Herrera LLC
id_transazione,406
nome_azienda,Herrera LLC
id_transazione,458
nome_azienda,Herrera LLC
id_transazione,459
nome_azienda,Hudson-Reyes
id_transazione,197
nome_azienda,Hudson-Reyes
id_transazione,220
nome_azienda,Hudson-Reyes
id_transazione,223
nome_azienda,Hudson-Reyes
id_transazione,378
nome_azienda,Hudson-Reyes
id_transazione,395
nome_azienda,Hudson-Reyes
id_transazione,457
nome_azienda,"Jones, Fernandez and Lopez"
id_transazione,74
nome_azienda,"Jones, Fernandez and Lopez"
id_transazione,174
nome_azienda,"Jones, Fernandez and Lopez"
id_transazione,232
nome_azienda,"Jones, Fernandez and Lopez"
id_transazione,320
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,52
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,123
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,199
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,217
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,275
nome_azienda,"Monroe, Hughes and Thompson"
id_transazione,362
nome_azienda,David-Novak
id_transazione,224
nome_azienda,David-Novak
id_transazione,340
nome_azienda,David-Novak
id_transazione,352
nome_azienda,David-Novak
id_transazione,391
nome_azienda,David-Novak
id_transazione,412
nome_azienda,David-Novak
id_transazione,421
nome_azienda,David-Novak
id_transazione,435
nome_azienda,David-Novak
id_transazione,464
nome_azienda,Hamilton-Harris
id_transazione,27
nome_azienda,Hamilton-Harris
id_transazione,28
nome_azienda,Hamilton-Harris
id_transazione,215
nome_azienda,Hamilton-Harris
id_transazione,294
nome_azienda,Hamilton-Harris
id_transazione,321
nome_azienda,Hamilton-Harris
id_transazione,451
nome_azienda,Sosa-Travis
id_transazione,144
nome_azienda,Sosa-Travis
id_transazione,180
nome_azienda,Sosa-Travis
id_transazione,181
nome_azienda,Sosa-Travis
id_transazione,190
nome_azienda,Sosa-Travis
id_transazione,397
nome_azienda,Chang Inc
id_transazione,151
nome_azienda,Wallace LLC
id_transazione,20
nome_azienda,Wallace LLC
id_transazione,195
nome_azienda,Wallace LLC
id_transazione,207
nome_azienda,Wallace LLC
id_transazione,288
nome_azienda,Wallace LLC
id_transazione,289
nome_azienda,"Chen, Williams and Solis"
id_transazione,5
nome_azienda,"Chen, Williams and Solis"
id_transazione,48
nome_azienda,"Chen, Williams and Solis"
id_transazione,85
nome_azienda,"Chen, Williams and Solis"
id_transazione,138
nome_azienda,"Chen, Williams and Solis"
id_transazione,185
nome_azienda,"Chen, Williams and Solis"
id_transazione,249
nome_azienda,"Chen, Williams and Solis"
id_transazione,419
nome_azienda,"Chen, Williams and Solis"
id_transazione,455
nome_azienda,Valdez-Wright
id_transazione,49
nome_azienda,Valdez-Wright
id_transazione,277
nome_azienda,Valdez-Wright
id_transazione,313
nome_azienda,Smith-Hill
id_transazione,77
nome_azienda,Smith-Hill
id_transazione,114
nome_azienda,Smith-Hill
id_transazione,208
nome_azienda,Smith-Hill
id_transazione,231
nome_azienda,Smith-Hill
id_transazione,331
nome_azienda,Smith-Hill
id_transazione,400
nome_azienda,Robinson-Keller
id_transazione,103
nome_azienda,Robinson-Keller
id_transazione,104
nome_azienda,Robinson-Keller
id_transazione,159
nome_azienda,Robinson-Keller
id_transazione,242
nome_azienda,Robinson-Keller
id_transazione,268
nome_azienda,Robinson-Keller
id_transazione,307
nome_azienda,Robinson-Keller
id_transazione,399
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,15
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,42
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,130
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,131
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,186
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,284
nome_azienda,"Shah, Edwards and Ferguson"
id_transazione,359
nome_azienda,"Williams, Garner and Massey"
id_transazione,38
nome_azienda,"Williams, Garner and Massey"
id_transazione,39
nome_azienda,"Williams, Garner and Massey"
id_transazione,83
nome_azienda,"Williams, Garner and Massey"
id_transazione,124
nome_azienda,"Williams, Garner and Massey"
id_transazione,255
nome_azienda,"Williams, Garner and Massey"
id_transazione,402
nome_azienda,"Williams, Garner and Massey"
id_transazione,414
nome_azienda,"Williams, Garner and Massey"
id_transazione,415
nome_azienda,"Williams, Garner and Massey"
id_transazione,433
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,47
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,68
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,163
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,164
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,281
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,282
nome_azienda,"Jones, Wilson and Robertson"
id_transazione,350
nome_azienda,"Guerrero, Dickson and Wilkins"
id_transazione,63
nome_azienda,"Guerrero, Dickson and Wilkins"
id_transazione,204
nome_azienda,"Guerrero, Dickson and Wilkins"
id_transazione,209
nome_azienda,"Guerrero, Dickson and Wilkins"
id_transazione,302
nome_azienda,"Guerrero, Dickson and Wilkins"
id_transazione,339
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,187
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,188
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,299
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,401
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,403
nome_azienda,"Fox, Palmer and Mullins"
id_transazione,443
nome_azienda,"Garrett, Gonzalez and Lee"
id_transazione,126
nome_azienda,"Garrett, Gonzalez and Lee"
id_transazione,172
nome_azienda,"Garrett, Gonzalez and Lee"
id_transazione,236
nome_azienda,"Garrett, Gonzalez and Lee"
id_transazione,253
nome_azienda,"Garrett, Gonzalez and Lee"
id_transazione,254
