Chiave,valore
id_azienda,16
num_transazioni,7
totale_importi,259762.01
id_azienda,15
num_transazioni,9
totale_importi,237442.55
id_azienda,61
num_transazioni,5
totale_importi,200063.85
id_azienda,27
num_transazioni,11
totale_importi,190634.94
id_azienda,1
num_transazioni,8
totale_importi,186796.05000000002
id_azienda,92
num_transazioni,4
totale_importi,178918.2
id_azienda,18
num_transazioni,6
totale_importi,174036.19999999998
id_azienda,36
num_transazioni,5
totale_importi,173019.67
id_azienda,34
num_transazioni,12
totale_importi,169062.01
id_azienda,7
num_transazioni,5
totale_importi,166781.78999999998
id_azienda,82
num_transazioni,7
totale_importi,158482.5
id_azienda,19
num_transazioni,5
totale_importi,151120.28
id_azienda,94
num_transazioni,5
totale_importi,144463.81
id_azienda,70
num_transazioni,3
totale_importi,139252.06
id_azienda,78
num_transazioni,4
totale_importi,118522.55
id_azienda,88
num_transazioni,3
totale_importi,111884.15
id_azienda,52
num_transazioni,7
totale_importi,100678.87
id_azienda,62
num_transazioni,5
totale_importi,96168.32
id_azienda,59
num_transazioni,6
totale_importi,70058.2
id_azienda,91
num_transazioni,7
totale_importi,69941.81
id_azienda,83
num_transazioni,4
totale_importi,54460.729999999996
id_azienda,89
num_transazioni,7
totale_importi,49109.29
id_azienda,6
num_transazioni,6
totale_importi,47567.37
id_azienda,68
num_transazioni,7
totale_importi,42544.11
id_azienda,20
num_transazioni,2
totale_importi,42159.08
id_azienda,99
num_transazioni,6
totale_importi,35380.34
id_azienda,14
num_transazioni,7
totale_importi,28485.059999999998
id_azienda,10
num_transazioni,8
totale_importi,7331
id_azienda,37
num_transazioni,8
totale_importi,6786.400000000001
id_azienda,41
num_transazioni,8
totale_importi,6153.099999999999
id_azienda,28
num_transazioni,7
totale_importi,6019.4
id_azienda,5
num_transazioni,8
totale_importi,5914.2
id_azienda,31
num_transazioni,7
totale_importi,5775
id_azienda,22
num_transazioni,6
totale_importi,5368.8
id_azienda,38
num_transazioni,8
totale_importi,5247.299999999999
id_azienda,57
num_transazioni,6
totale_importi,5134.2
id_azienda,87
num_transazioni,8
totale_importi,5124.4
id_azienda,2
num_transazioni,6
totale_importi,4997
id_azienda,3
num_transazioni,4
totale_importi,4989
id_azienda,46
num_transazioni,6
totale_importi,4973
id_azienda,84
num_transazioni,6
totale_importi,4945.1
id_azienda,65
num_transazioni,6
totale_importi,4724.5
id_azienda,9
num_transazioni,5
totale_importi,4718.3
id_azienda,80
num_transazioni,5
totale_importi,4606
id_azienda,40
num_transazioni,9
totale_importi,4587.0
id_azienda,58
num_transazioni,3
totale_importi,4296.38
id_azienda,74
num_transazioni,4
totale_importi,4177
id_azienda,67
num_transazioni,3
totale_importi,4018.6
id_azienda,73
num_transazioni,6
totale_importi,3990
id_azienda,13
num_transazioni,7
totale_importi,3948.0
id_azienda,33
num_transazioni,4
totale_importi,3891
id_azienda,26
num_transazioni,6
totale_importi,3848
id_azienda,76
num_transazioni,5
totale_importi,3661
id_azienda,35
num_transazioni,4
totale_importi,3645.6
id_azienda,29
num_transazioni,3
totale_importi,3530
id_azienda,55
num_transazioni,4
totale_importi,3475.8
id_azienda,48
num_transazioni,4
totale_importi,3340.1
id_azienda,56
num_transazioni,7
totale_importi,3260.8
id_azienda,32
num_transazioni,5
totale_importi,3243
id_azienda,4
num_transazioni,6
totale_importi,3204
id_azienda,72
num_transazioni,3
totale_importi,3149.5
id_azienda,12
num_transazioni,6
totale_importi,3096
id_azienda,24
num_transazioni,5
totale_importi,2992
id_azienda,23
num_transazioni,7
totale_importi,2985.6
id_azienda,66
num_transazioni,3
totale_importi,2914
id_azienda,85
num_transazioni,3
totale_importi,2837
id_azienda,17
num_transazioni,5
totale_importi,2742
id_azienda,75
num_transazioni,6
totale_importi,2589
id_azienda,96
num_transazioni,3
totale_importi,2379
id_azienda,45
num_transazioni,6
totale_importi,2339.1
id_azienda,11
num_transazioni,3
totale_importi,2314
id_azienda,25
num_transazioni,6
totale_importi,2248.5
id_azienda,81
num_transazioni,3
totale_importi,2117
id_azienda,51
num_transazioni,3
totale_importi,2065
id_azienda,49
num_transazioni,4
totale_importi,1859
id_azienda,93
num_transazioni,4
totale_importi,1782.5
id_azienda,79
num_transazioni,2
totale_importi,1669
id_azienda,98
num_transazioni,3
totale_importi,1576
id_azienda,64
num_transazioni,2
totale_importi,1502
id_azienda,60
num_transazioni,2
totale_importi,1476.3
id_azienda,42
num_transazioni,2
totale_importi,1442
id_azienda,47
num_transazioni,1
totale_importi,1308
id_azienda,21
num_transazioni,5
totale_importi,1273
id_azienda,44
num_transazioni,3
totale_importi,1258
id_azienda,77
num_transazioni,2
totale_importi,1233
id_azienda,90
num_transazioni,3
totale_importi,1228
id_azienda,86
num_transazioni,2
totale_importi,1201
id_azienda,95
num_transazioni,2
totale_importi,1158
id_azienda,54
num_transazioni,1
totale_importi,1147
id_azienda,53
num_transazioni,2
totale_importi,1038
id_azienda,43
num_transazioni,3
totale_importi,983
id_azienda,30
num_transazioni,1
totale_importi,974
id_azienda,63
num_transazioni,2
totale_importi,883
id_azienda,97
num_transazioni,1
totale_importi,716
id_azienda,50
num_transazioni,2
totale_importi,580
id_azienda,71
num_transazioni,1
totale_importi,388
id_azienda,8
num_transazioni,1
totale_importi,120
